K,rho,t_check,L_acum,W_acum
0,0.75,199.34,0.000000,0.000000
0,0.75,299.15,0.000000,0.000000
0,0.75,398.22,0.000000,0.000000
0,0.75,501.04,0.000000,0.000000
0,0.75,601.06,0.000000,0.000000
0,0.75,698.63,0.000000,0.000000
0,0.75,799.12,0.000000,0.000000
0,0.75,898.29,0.000000,0.000000
0,0.75,998.79,0.000000,0.000000
0,0.75,1100.90,0.000000,0.000000
0,0.75,1199.80,0.000000,0.000000
0,0.75,1298.09,0.000000,0.000000
0,0.75,1400.22,0.000000,0.000000
0,0.75,1498.07,0.000000,0.000000
0,0.75,1598.22,0.000000,0.000000
0,0.75,1700.74,0.000000,0.000000
0,0.75,1798.94,0.000000,0.000000
0,0.75,1898.05,0.000000,0.000000
0,0.75,1997.93,0.000000,0.000000
0,0.75,2102.78,0.000000,0.000000
0,0.75,2199.91,0.000000,0.000000
0,0.75,2298.63,0.000000,0.000000
0,0.75,2398.46,0.000000,0.000000
0,0.75,2498.58,0.000000,0.000000
0,0.75,2599.83,0.000000,0.000000
0,0.75,2698.07,0.000000,0.000000
0,0.75,2798.35,0.000000,0.000000
0,0.75,2899.26,0.000000,0.000000
0,0.75,2999.10,0.000000,0.000000
0,0.75,3099.91,0.000000,0.000000
0,0.75,3200.25,0.000000,0.000000
0,0.75,3297.99,0.000000,0.000000
0,0.75,3399.50,0.000000,0.000000
0,0.75,3502.12,0.000000,0.000000
0,0.75,3599.33,0.000000,0.000000
0,0.75,3699.20,0.000000,0.000000
0,0.75,3799.06,0.000000,0.000000
0,0.75,3898.13,0.000000,0.000000
0,0.75,4000.94,0.000000,0.000000
0,0.75,4105.27,0.000000,0.000000
0,0.75,4203.33,0.000000,0.000000
0,0.75,4298.18,0.000000,0.000000
0,0.75,4398.59,0.000000,0.000000
0,0.75,4499.59,0.000000,0.000000
0,0.75,4598.29,0.000000,0.000000
0,0.75,4700.33,0.000000,0.000000
0,0.75,4798.45,0.000000,0.000000
0,0.75,4898.05,0.000000,0.000000
0,0.75,4998.38,0.000000,0.000000
0,0.75,5098.45,0.000000,0.000000
0,0.75,5198.26,0.000000,0.000000
0,0.75,5298.89,0.000000,0.000000
0,0.75,5404.17,0.000000,0.000000
0,0.75,5498.91,0.000000,0.000000
0,0.75,5598.36,0.000000,0.000000
0,0.75,5698.08,0.000000,0.000000
0,0.75,5798.01,0.000000,0.000000
0,0.75,5898.75,0.000000,0.000000
0,0.75,5998.62,0.000000,0.000000
0,0.75,6098.43,0.000000,0.000000
0,0.75,6198.20,0.000000,0.000000
0,0.75,6300.25,0.000000,0.000000
0,0.75,6398.02,0.000000,0.000000
0,0.75,6498.25,0.000000,0.000000
0,0.75,6598.68,0.000000,0.000000
0,0.75,6699.19,0.000000,0.000000
0,0.75,6798.52,0.000000,0.000000
0,0.75,6898.18,0.000000,0.000000
0,0.75,6997.92,0.000000,0.000000
0,0.75,7097.95,0.000000,0.000000
0,0.75,7198.00,0.000000,0.000000
0,0.75,7298.05,0.000000,0.000000
0,0.75,7399.45,0.000000,0.000000
0,0.75,7499.51,0.000000,0.000000
0,0.75,7600.97,0.000000,0.000000
0,0.75,7698.86,0.000000,0.000000
0,0.75,7798.95,0.000000,0.000000
0,0.75,7899.65,0.000000,0.000000
0,0.75,7998.20,0.000000,0.000000
0,0.75,8102.37,0.000000,0.000000
0,0.75,8197.97,0.000000,0.000000
0,0.75,8298.69,0.000000,0.000000
0,0.75,8399.38,0.000000,0.000000
0,0.75,8498.53,0.000000,0.000000
0,0.75,8598.60,0.000000,0.000000
0,0.75,8699.87,0.000000,0.000000
0,0.75,8800.10,0.000000,0.000000
0,0.75,8898.51,0.000000,0.000000
0,0.75,8999.56,0.000000,0.000000
0,1.00,102.19,0.000000,0.000000
0,1.00,201.32,0.000000,0.000000
0,1.00,299.02,0.000000,0.000000
0,1.00,399.48,0.000000,0.000000
0,1.00,499.62,0.000000,0.000000
0,1.00,599.97,0.000000,0.000000
0,1.00,699.05,0.000000,0.000000
0,1.00,800.69,0.000000,0.000000
0,1.00,900.67,0.000000,0.000000
0,1.00,1000.08,0.000000,0.000000
0,1.00,1099.73,0.000000,0.000000
0,1.00,1200.67,0.000000,0.000000
0,1.00,1301.22,0.000000,0.000000
0,1.00,1400.46,0.000000,0.000000
0,1.00,1499.41,0.000000,0.000000
0,1.00,1600.84,0.000000,0.000000
0,1.00,1700.40,0.000000,0.000000
0,1.00,1798.97,0.000000,0.000000
0,1.00,1899.02,0.000000,0.000000
0,1.00,1999.85,0.000000,0.000000
0,1.00,2099.36,0.000000,0.000000
0,1.00,2203.23,0.000000,0.000000
0,1.00,2300.15,0.000000,0.000000
0,1.00,2399.91,0.000000,0.000000
0,1.00,2499.86,0.000000,0.000000
0,1.00,2599.82,0.000000,0.000000
0,1.00,2699.25,0.000000,0.000000
0,1.00,2800.42,0.000000,0.000000
0,1.00,2903.02,0.000000,0.000000
0,1.00,2999.89,0.000000,0.000000
0,1.00,3099.89,0.000000,0.000000
0,1.00,3199.24,0.000000,0.000000
0,1.00,3300.17,0.000000,0.000000
0,1.00,3399.79,0.000000,0.000000
0,1.00,3499.31,0.000000,0.000000
0,1.00,3599.90,0.000000,0.000000
0,1.00,3699.01,0.000000,0.000000
0,1.00,3803.65,0.000000,0.000000
0,1.00,3900.55,0.000000,0.000000
0,1.00,3999.38,0.000000,0.000000
0,1.00,4099.03,0.000000,0.000000
0,1.00,4199.45,0.000000,0.000000
0,1.00,4299.46,0.000000,0.000000
0,1.00,4399.17,0.000000,0.000000
0,1.00,4500.66,0.000000,0.000000
0,1.00,4600.04,0.000000,0.000000
0,1.00,4699.54,0.000000,0.000000
0,1.00,4800.30,0.000000,0.000000
0,1.00,4899.05,0.000000,0.000000
0,1.00,4998.96,0.000000,0.000000
0,1.00,5099.71,0.000000,0.000000
0,1.00,5199.47,0.000000,0.000000
0,1.00,5300.11,0.000000,0.000000
0,1.00,5399.10,0.000000,0.000000
0,1.00,5499.22,0.000000,0.000000
0,1.00,5599.74,0.000000,0.000000
0,1.00,5699.05,0.000000,0.000000
0,1.00,5799.45,0.000000,0.000000
0,1.00,5899.00,0.000000,0.000000
0,1.00,5999.04,0.000000,0.000000
0,1.00,6099.33,0.000000,0.000000
0,1.00,6199.48,0.000000,0.000000
0,1.00,6300.72,0.000000,0.000000
0,1.00,6399.41,0.000000,0.000000
0,1.00,6500.20,0.000000,0.000000
0,1.00,6600.33,0.000000,0.000000
0,1.00,6700.04,0.000000,0.000000
0,1.00,6799.04,0.000000,0.000000
0,1.00,6899.72,0.000000,0.000000
0,1.00,6999.28,0.000000,0.000000
0,1.00,7099.24,0.000000,0.000000
0,1.00,7201.14,0.000000,0.000000
0,1.00,7300.23,0.000000,0.000000
0,1.00,7400.45,0.000000,0.000000
0,1.00,7499.23,0.000000,0.000000
0,1.00,7599.02,0.000000,0.000000
0,1.00,7699.47,0.000000,0.000000
0,1.00,7799.02,0.000000,0.000000
0,1.00,7899.50,0.000000,0.000000
0,1.00,7999.30,0.000000,0.000000
0,1.00,8099.64,0.000000,0.000000
0,1.00,8199.21,0.000000,0.000000
0,1.00,8299.09,0.000000,0.000000
0,1.00,8399.25,0.000000,0.000000
0,1.00,8499.05,0.000000,0.000000
0,1.00,8599.90,0.000000,0.000000
0,1.00,8700.75,0.000000,0.000000
0,1.00,8799.33,0.000000,0.000000
0,1.00,8902.22,0.000000,0.000000
0,1.00,8999.58,0.000000,0.000000
0,1.25,99.90,0.000000,0.000000
0,1.25,199.01,0.000000,0.000000
0,1.25,299.22,0.000000,0.000000
0,1.25,400.63,0.000000,0.000000
0,1.25,498.57,0.000000,0.000000
0,1.25,599.38,0.000000,0.000000
0,1.25,700.22,0.000000,0.000000
0,1.25,798.49,0.000000,0.000000
0,1.25,901.58,0.000000,0.000000
0,1.25,998.84,0.000000,0.000000
0,1.25,1098.88,0.000000,0.000000
0,1.25,1199.03,0.000000,0.000000
0,1.25,1298.65,0.000000,0.000000
0,1.25,1399.19,0.000000,0.000000
0,1.25,1498.55,0.000000,0.000000
0,1.25,1600.76,0.000000,0.000000
0,1.25,1701.01,0.000000,0.000000
0,1.25,1799.20,0.000000,0.000000
0,1.25,1898.63,0.000000,0.000000
0,1.25,2000.29,0.000000,0.000000
0,1.25,2098.48,0.000000,0.000000
0,1.25,2199.22,0.000000,0.000000
0,1.25,2299.48,0.000000,0.000000
0,1.25,2398.64,0.000000,0.000000
0,1.25,2498.76,0.000000,0.000000
0,1.25,2598.76,0.000000,0.000000
0,1.25,2699.05,0.000000,0.000000
0,1.25,2798.50,0.000000,0.000000
0,1.25,2899.08,0.000000,0.000000
0,1.25,2998.82,0.000000,0.000000
0,1.25,3098.99,0.000000,0.000000
0,1.25,3198.91,0.000000,0.000000
0,1.25,3298.84,0.000000,0.000000
0,1.25,3399.84,0.000000,0.000000
0,1.25,3498.68,0.000000,0.000000
0,1.25,3598.68,0.000000,0.000000
0,1.25,3700.59,0.000000,0.000000
0,1.25,3798.48,0.000000,0.000000
0,1.25,3899.06,0.000000,0.000000
0,1.25,3998.98,0.000000,0.000000
0,1.25,4099.44,0.000000,0.000000
0,1.25,4198.69,0.000000,0.000000
0,1.25,4299.03,0.000000,0.000000
0,1.25,4398.65,0.000000,0.000000
0,1.25,4498.98,0.000000,0.000000
0,1.25,4598.54,0.000000,0.000000
0,1.25,4698.85,0.000000,0.000000
0,1.25,4801.58,0.000000,0.000000
0,1.25,4901.36,0.000000,0.000000
0,1.25,4999.47,0.000000,0.000000
0,1.25,5100.77,0.000000,0.000000
0,1.25,5198.55,0.000000,0.000000
0,1.25,5298.54,0.000000,0.000000
0,1.25,5398.73,0.000000,0.000000
0,1.25,5498.83,0.000000,0.000000
0,1.25,5598.67,0.000000,0.000000
0,1.25,5699.11,0.000000,0.000000
0,1.25,5798.70,0.000000,0.000000
0,1.25,5899.43,0.000000,0.000000
0,1.25,6000.78,0.000000,0.000000
0,1.25,6098.70,0.000000,0.000000
0,1.25,6198.75,0.000000,0.000000
0,1.25,6298.66,0.000000,0.000000
0,1.25,6398.81,0.000000,0.000000
0,1.25,6499.22,0.000000,0.000000
0,1.25,6598.56,0.000000,0.000000
0,1.25,6698.77,0.000000,0.000000
0,1.25,6798.94,0.000000,0.000000
0,1.25,6898.53,0.000000,0.000000
0,1.25,6998.98,0.000000,0.000000
0,1.25,7099.27,0.000000,0.000000
0,1.25,7199.17,0.000000,0.000000
0,1.25,7300.52,0.000000,0.000000
0,1.25,7398.69,0.000000,0.000000
0,1.25,7499.01,0.000000,0.000000
0,1.25,7598.67,0.000000,0.000000
0,1.25,7699.44,0.000000,0.000000
0,1.25,7798.56,0.000000,0.000000
0,1.25,7900.17,0.000000,0.000000
0,1.25,8000.16,0.000000,0.000000
0,1.25,8098.60,0.000000,0.000000
0,1.25,8199.02,0.000000,0.000000
